"Date (+01)","Instrument","Order ID","Side","Type","Total","Executed","Price","Status"
"2018-02-06 11:29:26","BCN/BTC","16081087304","buy","limit","21900","21900","0.0000004800","filled"
"2018-02-06 11:17:59","BCN/BTC","16080049604","sell","limit","2000","100","0.0000004800","filled"
"2018-02-06 11:17:24","BCN/BTC","16079983784","sell","limit","2000","0","0.0000004971","canceled"
"2018-02-06 11:17:21","BCN/BTC","16079978745","sell","limit","2000","0","0.0000004973","canceled"
"2018-02-06 11:17:15","BCN/BTC","16079972279","sell","limit","1000","0","0.0000004973","canceled"
"2018-02-06 11:16:53","BCN/BTC","16079937592","sell","limit","2000","2000","0.0000004800","filled"
"2018-02-06 11:12:15","BCN/BTC","16079473837","sell","limit","2000","400","0.0000004800","filled"
"2018-02-06 11:11:50","BCN/BTC","16079430282","sell","limit","2000","0","0.0000004964","canceled"
"2018-02-06 11:11:44","BCN/BTC","16079418433","sell","limit","2000","0","0.0000004966","canceled"
"2018-02-06 11:11:38","BCN/BTC","16079409115","sell","limit","2000","0","0.0000004964","canceled"
"2018-02-06 11:11:32","BCN/BTC","16079399994","sell","limit","2000","0","0.0000004966","canceled"
"2018-02-06 11:11:26","BCN/BTC","16079390049","sell","limit","2000","0","0.0000004964","canceled"
"2018-02-06 11:11:20","BCN/BTC","16079380697","sell","limit","2000","0","0.0000004964","canceled"
"2018-02-06 11:11:14","BCN/BTC","16079370301","sell","limit","2000","0","0.0000004967","canceled"
"2018-02-06 11:11:08","BCN/BTC","16079359191","sell","limit","2000","0","0.0000004965","canceled"
"2018-02-06 11:11:02","BCN/BTC","16079350447","sell","limit","2000","0","0.0000004965","canceled"
"2018-02-06 11:10:56","BCN/BTC","16079340329","sell","limit","2000","0","0.0000004979","canceled"
"2018-02-06 11:10:50","BCN/BTC","16079328744","sell","limit","2000","0","0.0000004981","canceled"
"2018-02-06 11:10:27","BCN/BTC","16079289397","sell","limit","2000","2000","0.0000004999","filled"
"2018-02-06 11:10:20","BCN/BTC","16079276899","sell","limit","2000","200","0.0000004983","canceled"
"2018-02-06 11:10:14","BCN/BTC","16079266438","sell","limit","2000","100","0.0000004984","canceled"
"2018-02-06 11:10:08","BCN/BTC","16079254840","sell","limit","2000","100","0.0000004985","canceled"
"2018-02-06 11:10:02","BCN/BTC","16079245515","sell","limit","2000","1800","0.0000004996","canceled"
"2018-02-06 11:09:56","BCN/BTC","16079235058","sell","limit","2000","1300","0.0000004986","canceled"
"2018-02-06 11:09:50","BCN/BTC","16079223184","sell","limit","2000","2000","0.0000004988","filled"
"2018-02-06 11:09:44","BCN/BTC","16079214869","sell","limit","2000","0","0.0000004977","canceled"
"2018-02-06 11:09:38","BCN/BTC","16079206010","sell","limit","2000","200","0.0000004978","canceled"
"2018-02-06 11:09:36","BCN/BTC","16079200240","sell","limit","2000","0","0.0000004971","canceled"
"2018-02-06 11:09:29","BCN/BTC","16079186968","sell","limit","1000","1000","0.0000004971","filled"
"2018-02-06 11:09:19","BCN/BTC","16079170363","sell","limit","2000","2000","0.0000004964","filled"
"2018-02-06 11:09:13","BCN/BTC","16079160432","sell","limit","2000","0","0.0000004966","canceled"
"2018-02-06 11:09:07","BCN/BTC","16079152345","sell","limit","2000","0","0.0000004968","canceled"
"2018-02-06 11:09:01","BCN/BTC","16079145494","sell","limit","2000","0","0.0000004969","canceled"
"2018-02-06 11:08:55","BCN/BTC","16079132896","sell","limit","2000","0","0.0000004971","canceled"
"2018-02-06 11:08:49","BCN/BTC","16079122775","sell","limit","2000","0","0.0000004969","canceled"
"2018-02-06 11:08:43","BCN/BTC","16079113275","sell","limit","2000","0","0.0000004971","canceled"
"2018-02-06 11:08:37","BCN/BTC","16079103726","sell","limit","2000","0","0.0000004984","canceled"
"2018-02-06 11:08:34","BCN/BTC","16079097439","sell","limit","2000","0","0.0000004986","canceled"
"2018-02-06 11:08:27","BCN/BTC","16079083296","sell","limit","1000","0","0.0000004986","canceled"
