"Date (+01)","Instrument","Order ID","Side","Type","Total","Executed","Price","Status"
"2018-02-06 7:23:56","BCN/BTC","16058201253","buy","limit","66200","66200","0.0000004906","filled"
"2018-02-06 7:17:29","BCN/BTC","16057612257","sell","limit","30000","30000","0.0000005000","filled"
"2018-02-06 6:54:27","BCN/BTC","16055525689","sell","limit","3000","3000","0.0000005015","filled"
"2018-02-06 6:54:01","BCN/BTC","16055492296","sell","limit","1000","1000","0.0000005015","filled"
"2018-02-06 6:51:53","BCN/BTC","16055292315","sell","limit","1000","1000","0.0000005060","filled"
"2018-02-06 6:51:44","BCN/BTC","16055279128","sell","limit","3000","1000","0.0000005043","filled"
"2018-02-06 6:49:55","BCN/BTC","16055112679","sell","limit","3000","1100","0.0000004800","filled"
"2018-02-06 6:47:34","BCN/BTC","16054889571","sell","limit","3000","300","0.0000005052","filled"
"2018-02-06 6:47:28","BCN/BTC","16054878154","sell","limit","3000","300","0.0000005053","filled"
"2018-02-06 6:46:22","BCN/BTC","16054778173","sell","limit","1000","1000","0.0000005056","filled"
"2018-02-06 6:46:15","BCN/BTC","16054763935","sell","limit","1000","1000","0.0000005042","filled"
"2018-02-06 6:46:12","BCN/BTC","16054758112","sell","limit","3000","1300","0.0000005040","filled"
"2018-02-06 6:46:06","BCN/BTC","16054750632","sell","limit","1000","1000","0.0000005040","filled"
"2018-02-06 6:45:57","BCN/BTC","16054737908","sell","limit","1000","1000","0.0000005033","filled"
"2018-02-06 6:45:48","BCN/BTC","16054719615","sell","limit","1000","1000","0.0000005032","filled"
"2018-02-06 6:45:39","BCN/BTC","16054706267","sell","limit","1000","1000","0.0000005029","filled"
"2018-02-06 6:45:36","BCN/BTC","16054701161","sell","limit","3000","3000","0.0000005025","filled"
"2018-02-06 6:45:30","BCN/BTC","16054689409","sell","limit","1000","1000","0.0000005025","filled"
"2018-02-06 6:44:39","BCN/BTC","16054608579","sell","limit","3000","2000","0.0000005021","filled"
"2018-02-06 6:44:27","BCN/BTC","16054588091","sell","limit","1000","900","0.0000005009","filled"
"2018-02-06 6:44:24","BCN/BTC","16054584562","sell","limit","3000","3000","0.0000005010","filled"
"2018-02-06 6:44:18","BCN/BTC","16054578880","sell","limit","1000","200","0.0000005010","filled"
"2018-02-06 6:42:57","BCN/BTC","16054443943","sell","limit","3000","200","0.0000004800","filled"
