Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee
2018-02-06 06:17:23,BCN/BTC,Exchange,Buy,0.00000047,5990.62495611,0.00281559,0.15%,7960900138,-0.00281559,5981.63901868
2018-02-06 06:17:00,BCN/BTC,Exchange,Buy,0.00000047,24009.37504389,0.01128440,0.15%,7960900138,-0.01128440,23973.36098133
2018-02-06 05:54:48,BCN/BTC,Exchange,Buy,0.00000048,3000.00000000,0.00144000,0.25%,7960580458,-0.00144000,2992.50000000
2018-02-06 05:54:01,BCN/BTC,Exchange,Buy,0.00000048,1000.00000000,0.00048000,0.25%,7960571467,-0.00048000,997.50000000
2018-02-06 05:51:54,BCN/BTC,Exchange,Buy,0.00000048,1000.00000000,0.00048000,0.25%,7960528510,-0.00048000,997.50000000
2018-02-06 05:51:44,BCN/BTC,Exchange,Buy,0.00000048,3000.00000000,0.00144000,0.25%,7960524514,-0.00144000,2992.50000000
2018-02-06 05:49:46,BCN/BTC,Exchange,Buy,0.00000048,3000.00000000,0.00144000,0.15%,7960481557,-0.00144000,2995.50000000
2018-02-06 05:47:37,BCN/BTC,Exchange,Buy,0.00000049,3000.00000000,0.00147000,0.25%,7960414624,-0.00147000,2992.50000000
2018-02-06 05:46:25,BCN/BTC,Exchange,Buy,0.00000048,1000.00000000,0.00048000,0.25%,7960388650,-0.00048000,997.50000000
2018-02-06 05:46:15,BCN/BTC,Exchange,Buy,0.00000048,1000.00000000,0.00048000,0.25%,7960382656,-0.00048000,997.50000000
2018-02-06 05:45:58,BCN/BTC,Exchange,Buy,0.00000048,1000.00000000,0.00048000,0.25%,7960378660,-0.00048000,997.50000000
2018-02-06 05:45:49,BCN/BTC,Exchange,Buy,0.00000048,1000.00000000,0.00048000,0.25%,7960377661,-0.00048000,997.50000000
2018-02-06 05:45:39,BCN/BTC,Exchange,Buy,0.00000048,1000.00000000,0.00048000,0.25%,7960376662,-0.00048000,997.50000000
2018-02-06 05:44:40,BCN/BTC,Exchange,Buy,0.00000048,3000.00000000,0.00144000,0.25%,7960348690,-0.00144000,2992.50000000
2018-02-06 05:44:31,BCN/BTC,Exchange,Buy,0.00000048,1000.00000000,0.00048000,0.25%,7960341697,-0.00048000,997.50000000
2018-02-06 05:42:49,BCN/BTC,Exchange,Buy,0.00000048,3000.00000000,0.00144000,0.25%,7960317721,-0.00144000,2992.50000000
2018-02-06 05:42:40,BCN/BTC,Exchange,Buy,0.00000048,3000.00000000,0.00144000,0.25%,7960314724,-0.00144000,2992.50000000
2018-02-06 05:42:40,BCN/BTC,Exchange,Buy,0.00000048,3000.00000000,0.00144000,0.15%,7960116922,-0.00144000,2995.50000000
2018-02-06 05:40:10,BCN/BTC,Exchange,Buy,0.00000049,3000.00000000,0.00147000,0.25%,7960267771,-0.00147000,2992.50000000
2018-02-06 05:28:20,BCN/BTC,Exchange,Buy,0.00000048,3000.00000000,0.00144000,0.25%,7960037002,-0.00144000,2992.50000000
